Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
,"Ат к Borrelia IgG (болезнь Лайма, боррелиоз) Качественный",,,,,,,,,,,,
,"Ат к Borrelia IgM (болезнь Лайма, боррелиоз) Полу-количественный",Сыв-ка крови,,,,,,,,БАКТЕРИАЛЬНЫЕ ИНФЕКЦИИ		,Системные бактериальные инфекции		,Антитела класса IgM к Borrelia; иммуноглобулины класса М к Borrelia; антитела к боррелиям (болезнь Лайма); Borrelia IgM antibodies; Anti-Borrelia IgM; Borrelia burgdorferi IgM antibodies; Lyme disease IgM antibodies,Borrelia IgM antibodies; Anti-Borrelia IgM; Borrelia burgdorferi IgM antibodies; Lyme disease IgM antibodies
,"Ат к Borrelia IgM (болезнь Лайма, боррелиоз) Качественный",,,,,,,,,,,,
,"Ат к Brucella (РПГА, суммарные - возбудитель бруцеллёза) Полу-количественный",Сыв-ка крови,,,,,,,,БАКТЕРИАЛЬНЫЕ ИНФЕКЦИИ		,Системные бактериальные инфекции		,Антитела к Brucella (суммарные); антитела к бруцеллам методом РПГА; иммуноглобулины к Brucella; Brucella antibodies (total); Anti-Brucella antibodies; Brucellosis antibodies; Brucella RPG antibodies,Brucella antibodies (total); Anti-Brucella antibodies; Brucellosis antibodies; Brucella RPG antibodies
,"Ат к Brucella (РПГА, суммарные - возбудитель бруцеллёза) Качественный",,,,,,,,,,,,
,"Ат к Listeria (РПГА, сумарные - возбудитель листериоза) Полу-количественный",Сыв-ка крови,,,,,,,,БАКТЕРИАЛЬНЫЕ ИНФЕКЦИИ		,Системные бактериальные инфекции		,Антитела к Listeria (суммарные); антитела к листериям методом РПГА; иммуноглобулины к Listeria; Listeria antibodies (total); Anti-Listeria antibodies; Listeriosis antibodies; Listeria RPG antibodies,Listeria antibodies (total); Anti-Listeria antibodies; Listeriosis antibodies; Listeria RPG antibodies
,"Ат к Listeria (РПГА, сумарные - возбудитель листериоза) Качественный",,,,,,,,,,,,
,Ат к Candida albicans IgG Полу-количественный,Сыв-ка крови,,,,,,,,ГРИБКОВЫЕ ИНФЕКЦИИ		,ГРИБКОВЫЕ ИНФЕКЦИИ		,Антитела класса IgG к Candida albicans; иммуноглобулины класса G к Candida albicans; IgG антитела к Candida; антитела к Candida albicans; Candida albicans IgG antibodies; Anti-Candida albicans IgG; Candida IgG,Candida albicans IgG antibodies; Anti-Candida albicans IgG; Candida IgG
,Ат к Candida albicans IgG Качественный,,,,,,,,,,,,
,Ат к Candida albicans (m5) IgE Полу-количественный,Сыв-ка крови,,,,,,,,ГРИБКОВЫЕ ИНФЕКЦИИ		,ГРИБКОВЫЕ ИНФЕКЦИИ		,Антитела класса IgE к Candida albicans (m5); иммуноглобулины класса Е к Candida albicans; IgE антитела к Candida; Candida albicans IgE antibodies; Anti-Candida albicans IgE; Candida IgE (m5),Candida albicans IgE antibodies; Anti-Candida albicans IgE; Candida IgE (m5)
,Ат к Candida albicans (m5) IgE Качественный,,,,,,,,,,,,
,Ат к Aspergilius fumigatus IgG Полу-количественный,Сыв-ка крови,,,,,,,,ГРИБКОВЫЕ ИНФЕКЦИИ		,ГРИБКОВЫЕ ИНФЕКЦИИ		,Антитела класса IgG к Aspergilius fumigatus; иммуноглобулины класса G к Aspergilius fumigatus; IgG антитела к аспергиллам; Aspergilius fumigatus IgG antibodies; Anti-Aspergilius fumigatus IgG; Aspergillus fumigatus IgG,Aspergilius fumigatus IgG antibodies; Anti-Aspergilius fumigatus IgG; Aspergillus fumigatus IgG
,Ат к Aspergilius fumigatus IgG Качественный,,,,,,,,,,,,
,Ат к Aspergillus fumigatus (m3) IgE Полу-количественный,Сыв-ка крови,,,,,,,,ГРИБКОВЫЕ ИНФЕКЦИИ		,ГРИБКОВЫЕ ИНФЕКЦИИ		,Антитела класса IgE к Aspergillus fumigatus (m3); иммуноглобулины класса Е к Aspergillus fumigatus; IgE антитела к аспергиллам; Aspergillus fumigatus IgE antibodies; Anti-Aspergillus fumigatus IgE; Aspergillus IgE (m3),Aspergillus fumigatus IgE antibodies; Anti-Aspergillus fumigatus IgE; Aspergillus IgE (m3)
,Ат к Aspergillus fumigatus (m3) IgE Качественный,,,,,,,,,,,,
,Ат к Toxoplasma gondii IgG (возбудитель токсоплазмоза) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgG к Toxoplasma gondii; иммуноглобулины класса G к Toxoplasma gondii; IgG антитела к токсоплазме; антитела к Toxoplasma; Toxoplasma gondii IgG antibodies; Anti-Toxoplasma gondii IgG; Toxoplasmosis IgG antibodies,Toxoplasma gondii IgG antibodies; Anti-Toxoplasma gondii IgG; Toxoplasmosis IgG antibodies
,Ат к Toxoplasma gondii IgG (возбудитель токсоплазмоза) Качественный,,,,,,,,,,,,
,Ат к Toxoplasma gondii IgМ (возбудитель токсоплазмоза) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgM к Toxoplasma gondii; иммуноглобулины класса М к Toxoplasma gondii; IgM антитела к токсоплазме; антитела к Toxoplasma; Toxoplasma gondii IgM antibodies; Anti-Toxoplasma gondii IgM; Toxoplasmosis IgM antibodies,Toxoplasma gondii IgM antibodies; Anti-Toxoplasma gondii IgM; Toxoplasmosis IgM antibodies
,Ат к Toxoplasma gondii IgМ (возбудитель токсоплазмоза) Качественный,,,,,,,,,,,,
,Авидность антител IgG к Toxoplasma gondii (Toxoplasma IgG Avidity) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Авидность IgG антител к Toxoplasma gondii; показатель авидности антител к токсоплазме; Toxoplasma IgG Avidity test; IgG avidity for Toxoplasma; IgG avidity antibodies Toxoplasma gondii; Anti-Toxoplasma IgG avidity,Toxoplasma IgG Avidity test; IgG avidity for Toxoplasma; IgG avidity antibodies Toxoplasma gondii; Anti-Toxoplasma IgG avidity
,Авидность антител IgG к Toxoplasma gondii (Toxoplasma IgG Avidity) Качественный,,,,,,,,,,,,
,Ат к Toxocara canis IgG (возбудитель токсокароза) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgG к Toxocara canis; иммуноглобулины класса G к Toxocara; IgG антитела к токсокарам; антитела к Toxocara canis; Toxocara canis IgG antibodies; Anti-Toxocara canis IgG; Toxocariasis IgG antibodies,Toxocara canis IgG antibodies; Anti-Toxocara canis IgG; Toxocariasis IgG antibodies
,Ат к Toxocara canis IgG (возбудитель токсокароза) Качественный,,,,,,,,,,,,
,Ат к Echinococcus IgG (эхинококк) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgG к Echinococcus; иммуноглобулины класса G к эхинококку; IgG антитела к эхинококку; антитела к Echinococcus; Echinococcus IgG antibodies; Anti-Echinococcus IgG; Echinococcosis IgG antibodies,Echinococcus IgG antibodies; Anti-Echinococcus IgG; Echinococcosis IgG antibodies
,Ат к Echinococcus IgG (эхинококк) Качественный,,,,,,,,,,,,
,Ат к Opisthorchis IgG (описторхи) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgG к Opisthorchis; иммуноглобулины класса G к описторхам; IgG антитела к описторхам; антитела к Opisthorchis; Opisthorchis IgG antibodies; Anti-Opisthorchis IgG; Opisthorchiasis IgG antibodies,Opisthorchis IgG antibodies; Anti-Opisthorchis IgG; Opisthorchiasis IgG antibodies
,Ат к Opisthorchis IgG (описторхи) Качественный,,,,,,,,,,,,
,Ат к Trichinella IgG (трихинелла) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgG к Trichinella; иммуноглобулины класса G к трихинеллам; IgG антитела к трихинеллам; антитела к Trichinella; Trichinella IgG antibodies; Anti-Trichinella IgG; Trichinellosis IgG antibodies,Trichinella IgG antibodies; Anti-Trichinella IgG; Trichinellosis IgG antibodies
,Ат к Trichinella IgG (трихинелла) Качественный,,,,,,,,,,,,
,Ат к Anisakidae IgE (p4 Анизакида) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgE к Anisakidae (p4); иммуноглобулины класса Е к Anisakidae; IgE антитела к анизакидам; антитела к Anisakidae; Anisakidae IgE antibodies; Anti-Anisakidae IgE; Anisakiasis IgE antibodies,Anisakidae IgE antibodies; Anti-Anisakidae IgE; Anisakiasis IgE antibodies
,Ат к Anisakidae IgE (p4 Анизакида) Качественный,,,,,,,,,,,,
,Ат к Ascaris IgG (аскарида) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgG к Ascaris; иммуноглобулины класса G к аскаридам; IgG антитела к аскаридам; антитела к Ascaris; Ascaris IgG antibodies; Anti-Ascaris IgG; Ascariasis IgG antibodies,Ascaris IgG antibodies; Anti-Ascaris IgG; Ascariasis IgG antibodies
,Ат к Ascaris IgG (аскарида) Качественный,,,,,,,,,,,,
,Ат к Ascaris IgE (p1 Аскарида) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgE к Ascaris (p1); иммуноглобулины класса Е к аскаридам; IgE антитела к аскаридам; антитела к Ascaris; Ascaris IgE antibodies; Anti-Ascaris IgE; Ascariasis IgE antibodies,Ascaris IgE antibodies; Anti-Ascaris IgE; Ascariasis IgE antibodies
,Ат к Ascaris IgE (p1 Аскарида) Качественный,,,,,,,,,,,,
,Антиген лямблий (Giardia lamblia) в кале Полу-количественный,Кал,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антиген Giardia lamblia в кале; выявление антигена лямблий в фекалиях; Giardia lamblia stool antigen; антиген Giardia в кале; Giardia antigen fecal test; Giardia lamblia fecal antigen; Giardia stool antigen test,Giardia lamblia stool antigen; Giardia antigen fecal test; Giardia stool antigen test
,Антиген лямблий (Giardia lamblia) в кале Качественный,,,,,,,,,,,,
,Ат к Giardia lamblia (лямблии) суммарные Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела к Giardia lamblia (суммарные); иммуноглобулины к лямблиям; антитела к Giardia; Giardia lamblia antibodies (total); Anti-Giardia antibodies; Giardiasis antibodies; Giardia total antibodies,Giardia lamblia antibodies (total); Anti-Giardia antibodies; Giardiasis antibodies; Giardia total antibodies
,Ат к Giardia lamblia (лямблии) суммарные Качественный,,,,,,,,,,,,
,Ат к Trichomonas vaginalis IgG (трихомонады) Полу-количественный,Сыв-ка крови,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		",Антитела класса IgG к Trichomonas vaginalis; иммуноглобулины класса G к трихомонадам; IgG антитела к Trichomonas; антитела к Trichomonas vaginalis; Trichomonas vaginalis IgG antibodies; Anti-Trichomonas IgG; Trichomoniasis IgG antibodies,Trichomonas vaginalis IgG antibodies; Anti-Trichomonas IgG; Trichomoniasis IgG antibodies
,Ат к Trichomonas vaginalis IgG (трихомонады) Качественный,,,,,,,,,,,,
,"Антигены малярийного плазмодия (P.malariae, P.falciparum, P.vivax) Полу-количественный",Кровь ЭДТА,,,,,,,,"ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","ПАРАЗИТЫ, ГЕЛЬМИНТЫ, ПРОСТЕЙШИЕ		","Антигены Plasmodium malariae, falciparum, vivax; антигены малярийных плазмодиев; Plasmodium antigens; малярийные антигены; Plasmodium malariae/falciparum/vivax antigens; Anti-Plasmodium antigens; Malaria parasite antigens","Plasmodium malariae, falciparum, vivax antigens; Plasmodium antigens; Malaria parasite antigens; Anti-Plasmodium antigens"
,"Антигены малярийного плазмодия (P.malariae, P.falciparum, P.vivax) Качественный",,,,,,,,,,,,
Иммуноглобулин G (IgG),Иммуноглобулин G (IgG),Сыв-ка крови,г/л,6.8,16.5,,,,иммунотурбодиметрический,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Иммуноглобулины		,Иммуноглобулин G; иммуноглобулины класса G; антитела класса G; IgG общий; гаммаглобулин; иммунный глобулин G; иммуноглобулины (антитела) класса G,"Immunoglobulin G; IgG, total, serum; IgG antibodies; Gamma globulin; Immunoglobulin G, total; IgG class antibodies; Serum immunoglobulin G 1234"
Иммуноглобулин M (IgM),Иммуноглобулин M (IgM),Сыв-ка крови,г/л,0.34,2.14,,,,иммунотурбодиметрический,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Иммуноглобулины		,Иммуноглобулин M; иммуноглобулины класса М; антитела класса М; IgM общий; иммунный глобулин М; иммуноглобулины (антитела) класса М; кровь на антитела класса М,"Immunoglobulin M; IgM, total, serum; IgM antibodies; Immunoglobulin M, total; IgM class antibodies; Serum immunoglobulin M; Blood for IgM antibodies 56"
Иммуноглобулин A (IgA),Иммуноглобулин A (IgA),Сыв-ка крови,г/л,0.8,4.06,,,,иммунотурбодиметрический,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Иммуноглобулины		,Иммуноглобулин A; иммуноглобулины класса А; антитела класса А; IgA общий; иммунный глобулин А; иммуноглобулины (антитела) класса А; сывороточный IgA,"Immunoglobulin A; IgA, total, serum; IgA antibodies; Immunoglobulin A, total; IgA class antibodies; Serum immunoglobulin A; Secretory IgA 7"
Иммуноглобулин Е (IgE общий),Иммуноглобулин Е (IgE общий),Сыв-ка крови,кЕД/л,0,100.0,,,,иммунотурбодиметрический,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Иммуноглобулины		,Иммуноглобулин Е; иммуноглобулины класса Е; антитела класса Е; IgE общий; иммунный глобулин Е; суммарные иммуноглобулины Е; анализ крови на иммуноглобулин Е,"Immunoglobulin E; IgE, total, serum; IgE antibodies; Immunoglobulin E, total; IgE class antibodies; Serum immunoglobulin E; Quantitative IgE 89"
Циркулирующие иммунные комплексы (ЦИК - С1q),Циркулирующие иммунные комплексы (ЦИК - С1q),Сыв-ка крови,ОП,50,200,,,,преципитация в полиэтиленгликоле,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,ЦИК и система комплемента		,Циркулирующие иммунные комплексы; ЦИК; ЦИКи; иммунные комплексы; растворимые иммунные комплексы; комплексы антиген-антитело; ЦИК (С1q),Circulating Immune Complexes; CIC; Immune complexes; Soluble immune complexes; Antigen-antibody complexes; CIC (C1q); Circulating immune complexes (CIC) 1112
С3 компонент комплемента,С3 компонент комплемента,Сыв-ка крови,мг/дл,90,180,,,,иммунотурбодиметрический,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,ЦИК и система комплемента		,С3 компонент комплемента; С3-компонент системы комплемента; бета1-С-глобулин; фактор А комплемента; комплемент С3; компонент С3; С3-фракция,Complement component C3; C3 complement; Beta1-C-globulin; C3 fraction; C3 protein; C3 component; Complement C3 1314
С4 компонент комплемента,С4 компонент комплемента,Сыв-ка крови,мг/дл,10,40,,,,иммунотурбодиметрический,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,ЦИК и система комплемента		,С4 компонент комплемента; С4-компонент системы комплемента; бета1-Е-глобулин; комплемент С4; компонент С4; С4-фракция; С4 белок,Complement component C4; C4 complement; Beta1-E-globulin; C4 fraction; C4 protein; C4 component; Complement C4 1516
Эстеразный ингибитор С1 комплемента - общий,Эстеразный ингибитор С1 комплемента - общий,Сыв-ка крови,мг/дл,23.0,41.0,,,,ИФА,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,ЦИК и система комплемента		,Эстеразный ингибитор С1; C1-ингибитор общий; ингибитор эстеразы С1; общий ингибитор комплемента С1; C1-INH общий; ингибитор C1-эстеразы; С1 ингибитор плазмы,"C1 esterase inhibitor, total; C1-INH, total; C1 inhibitor, total; Plasma C1 esterase inhibitor; C1-INH (total); C1-esterase inhibitor (total); Total C1-INH"
Эстеразный ингибитор С1 комплемента - функциональный,Эстеразный ингибитор С1 комплемента - функциональный,Плазма цитрат,%,70,130,,,,кинетический метод,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,ЦИК и система комплемента		,Эстеразный ингибитор С1 функциональный; C1-ингибитор функциональный; функциональный ингибитор эстеразы С1; C1-INH функциональный; функциональная активность C1-INH; ингибитор C1-эстеразы (функц.); функциональный тест C1 ингибитора,"C1 esterase inhibitor, functional; C1-INH, functional; C1 inhibitor, functional; Plasma C1 esterase inhibitor activity; C1-INH (functional); C1-esterase inhibitor (functional); Functional C1-INH"
Интерлейкин 1β,Интерлейкин 1β,Сыв-ка крови,пг/мл,0,11,,,,Твердофазный иммуноферментный анализ,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Цитокины		,Интерлейкин 1 бета; ИЛ-1β; IL-1β; интерлейкин-1б; интерлейкин 1B; IL1B; цитокин IL-1β,Interleukin 1 beta; IL-1β; IL1B; Interleukin-1β; IL-1 beta; Cytokine IL-1β; Interleukin-1B
Интерлейкин 6,Интерлейкин 6,Сыв-ка крови,Пг/мл,0,7,,,,Электрохемилюминесцентный иммуноанализ,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Цитокины		,Интерлейкин 6; ИЛ-6; IL-6; интерлейкин-6; цитокин IL-6; IL6; интерлейкин VI,Interleukin 6; IL-6; IL6; Interleukin-6; Cytokine IL-6; Interleukin VI; Interleukin-6 protein
Интерлейкин 8,Интерлейкин 8,Сыв-ка крови,пг/мл,0,10,,,,Твердофазный иммуноферментный анализ,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Цитокины		,Интерлейкин 8; ИЛ-8; IL-8; интерлейкин-8; цитокин IL-8; IL8; интерлейкин VIII,Interleukin 8; IL-8; IL8; Interleukin-8; Cytokine IL-8; Interleukin VIII; Interleukin-8 protein
Интерлейкин 10,Интерлейкин 10,Сыв-ка крови,пг/мл,0,31,,,,Твердофазный иммуноферментный анализ,ГУМОРАЛЬНЫЙ ИММУНИТЕТ		,Цитокины		,Интерлейкин 10; ИЛ-10; IL-10; интерлейкин-10; цитокин IL-10; IL10; интерлейкин X,Interleukin 10; IL-10; IL10; Interleukin-10; Cytokine IL-10; Interleukin X; Interleukin-10 protein
Циклоферон,Циклоферон,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к индукторам эндогенного интерферона (дополнительно к исследованию 51-13-300)		,Циклоферон; меглюмина акридонацетат; индуктор интерферона; противовирусный иммуномодулятор; акридонуксусная кислота; иммуномодулятор; препарат для стимуляции иммунитета,Cycloferon; meglumine acridone acetate; interferon inducer; antiviral immunomodulator; immune stimulant; acridoneacetic acid; immunomodulatory agent123
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Неовир,Неовир,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к индукторам эндогенного интерферона (дополнительно к исследованию 51-13-300)		,Неовир; полиметиленпирролидония малат; индуктор интерферона; противовирусный иммуномодулятор; иммуномодулятор; препарат для стимуляции иммунитета; аналог индукторов интерферона,Neovir; polymethylene pyrrolidone malate; interferon inducer; antiviral immunomodulator; immune stimulant; immunomodulatory agent; interferon inducer analog45
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Амиксин,Амиксин,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к индукторам эндогенного интерферона (дополнительно к исследованию 51-13-300)		,Амиксин; тилорон; индуктор интерферона; противовирусный иммуномодулятор; иммуномодулятор; препарат для стимуляции иммунитета; тилорондигидрохлорид,Amiksin; tilorone; interferon inducer; antiviral immunomodulator; immune stimulant; immunomodulatory agent; tilorone dihydrochloride67
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Кагоцел,Кагоцел,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к индукторам эндогенного интерферона (дополнительно к исследованию 51-13-300)		,Кагоцел; индуктор интерферона; противовирусный иммуномодулятор; иммуномодулятор; препарат для стимуляции иммунитета; натриевая соль сополимера; индуктор синтеза интерферона,Kagocel; interferon inducer; antiviral immunomodulator; immune stimulant; immunomodulatory agent; sodium salt copolymer; interferon synthesis inducer89
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Ридостин,Ридостин,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к индукторам эндогенного интерферона (дополнительно к исследованию 51-13-300)		,Ридостин; рибонуклеат натрия; индуктор интерферона; иммуномодулятор; препарат для стимуляции иммунитета; противовирусный иммуномодулятор; натриевая соль рибонуклеиновой кислоты,Ridostin; sodium ribonucleate; interferon inducer; immunomodulator; immune stimulant; antiviral immunomodulator; sodium salt of ribonucleic acid1011
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Интрон,Интрон,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к препаратам интерферона (дополнительно к исследованию 51-13-300)		,Интрон; интерферон альфа-2b; противовирусный иммуномодулятор; рекомбинантный интерферон; иммуномодулятор; препарат для стимуляции иммунитета; интерферон человеческий,Intron; interferon alfa-2b; antiviral immunomodulator; recombinant interferon; immunomodulatory agent; immune stimulant; human interferon12
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Роферон,Роферон,Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к препаратам интерферона (дополнительно к исследованию 51-13-300)		,Роферон; интерферон альфа-2a; противовирусный иммуномодулятор; рекомбинантный интерферон; иммуномодулятор; препарат для стимуляции иммунитета; интерферон человеческий,Roferon; interferon alfa-2a; antiviral immunomodulator; recombinant interferon; immunomodulatory agent; immune stimulant; human interferon1314
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
Ингарон (гаммаферон),Ингарон (гаммаферон),Кровь с гепарином,ед/мл,,> 4,"> 4 ед/мл - Сильно выраженная, Увеличивается более чем в 4 раза",,,Определение биологической активности по защите монослоя клеточной культуры от ЦПД вируса,ИНТЕРФЕРОНОВЫЙ СТАТУС		,Чувствительность к препаратам интерферона (дополнительно к исследованию 51-13-300)		,Ингарон; интерферон гамма; рекомбинантный интерферон гамма; иммуномодулятор; противовирусный иммуномодулятор; препарат для стимуляции иммунитета; человеческий гамма-интерферон,Ingaron; gamma interferon; recombinant human gamma interferon; immunomodulator; antiviral immunomodulator; immune stimulant; human gamma-interferon1516
,,,ед/мл,2,4,"
2-4 ед/мл - Выраженная, Увеличивается в 2-4 раза",,,,,,,
,,,ед/мл,2,,"2 ед/мл - Слабо выраженная, Увеличивается в 2 раза",,,,,,,
,,,ед/мл,,,"- Отсутствие чувствительности, Не изменяется",,,,,,,
